macrotema,monto_exp,pct,decil,cve_ent,año
Trabajo,8518834.15,99.36,8,01,2020
Transferencias,54536.88,0.64,8,01,2020
Transferencias,14254819.02,58.16,10,01,2022
Percepciones financieras y de capital,9045442.38,36.91,10,01,2022
Trabajo,1208360.4,4.93,10,01,2022
Trabajo,363913.02999999997,56.47,3,03,2020
Programas sociales y becas,280516.21,43.53,3,03,2020
Transferencias,1507867.56,85.94,4,03,2020
Programas sociales y becas,125655.62999999999,7.16,4,03,2020
Negocio propio,120988.01,6.9,4,03,2020
Trabajo,2474998.9499999997,85.6,5,03,2020
Programas sociales y becas,416249.39999999997,14.4,5,03,2020
Trabajo,958793.22,72.79,6,03,2020
Programas sociales y becas,358336.77,27.21,6,03,2020
Trabajo,3393341.04,82.56,7,03,2020
Programas sociales y becas,716672.61,17.44,7,03,2020
Trabajo,14186165.91,84.89,10,03,2020
Transferencias,1561701.61,9.35,10,03,2020
Programas sociales y becas,963031.58,5.76,10,03,2020
Trabajo,1352458.25,44.35,7,03,2022
Programas sociales y becas,1096789.65,35.96,7,03,2022
Negocio propio,600491.65,19.69,7,03,2022
Trabajo,3013043.04,48.08,8,03,2022
Negocio propio,2711738.4,43.27,8,03,2022
Percepciones financieras y de capital,273912.8,4.37,8,03,2022
Programas sociales y becas,267886.08,4.27,8,03,2022
Trabajo,8776914.959999999,86.55,9,03,2022
Programas sociales y becas,1364316.3599999999,13.45,9,03,2022
Trabajo,514285.45999999996,44.69,4,03,2024
Programas sociales y becas,501428.45999999996,43.58,4,03,2024
Percepciones financieras y de capital,134999.53999999998,11.73,4,03,2024
Trabajo,2219798.9,56.41,2,04,2020
Programas sociales y becas,791759.52,20.12,2,04,2020
Percepciones financieras y de capital,481458.24,12.23,2,04,2020
Negocio propio,288002.3,7.32,2,04,2020
Transferencias,154075.95,3.92,2,04,2020
Trabajo,3444549.84,82.74,3,04,2020
Programas sociales y becas,718784.97,17.26,3,04,2020
Negocio propio,1167965.12,36.38,4,04,2020
Programas sociales y becas,986086.0800000001,30.72,4,04,2020
Percepciones financieras y de capital,876520.96,27.3,4,04,2020
Transferencias,175303.52000000002,5.46,4,04,2020
Trabajo,4382.56,0.14,4,04,2020
Trabajo,2181244.8,60.74,5,04,2020
Programas sociales y becas,1189770.4000000001,33.13,5,04,2020
Transferencias,220327.52000000002,6.13,5,04,2020
Trabajo,5553855.63,60.28,6,04,2020
Programas sociales y becas,2112489.46,22.93,6,04,2020
Percepciones financieras y de capital,1069972.5,11.61,6,04,2020
Transferencias,476901.25,5.18,6,04,2020
Trabajo,14505715.639999999,47.21,7,04,2020
Programas sociales y becas,8574660.76,27.91,7,04,2020
Negocio propio,4034242.0900000003,13.13,7,04,2020
Transferencias,2031931.47,6.61,7,04,2020
Renta de la propiedad,842281.86,2.74,7,04,2020
Percepciones financieras y de capital,736676.55,2.4,7,04,2020
Trabajo,8967351.57,42.34,8,04,2020
Negocio propio,5454003.68,25.75,8,04,2020
Transferencias,4845685.7700000005,22.88,8,04,2020
Programas sociales y becas,1151362.2,5.44,8,04,2020
Percepciones financieras y de capital,720351.8,3.4,8,04,2020
Otros ingresos,39324.98,0.19,8,04,2020
Trabajo,4728694.67,57.25,9,04,2020
Transferencias,2066330.28,25.02,9,04,2020
Negocio propio,1006972.05,12.19,9,04,2020
Programas sociales y becas,457502.64,5.54,9,04,2020
Trabajo,22814570.16,45.04,10,04,2020
Transferencias,15658395.469999999,30.92,10,04,2020
Percepciones financieras y de capital,10363470.59,20.46,10,04,2020
Programas sociales y becas,1813144.92,3.58,10,04,2020
Trabajo,2431143.3899999997,44.49,1,04,2022
Programas sociales y becas,2099836.68,38.43,1,04,2022
Percepciones financieras y de capital,933260.04,17.08,1,04,2022
Programas sociales y becas,2105998.68,88.47,2,04,2022
Negocio propio,274588.26,11.53,2,04,2022
Trabajo,4186904.22,56.24,3,04,2022
Programas sociales y becas,3258328.7399999998,43.76,3,04,2022
Trabajo,18666210.79,66.83,5,04,2022
Programas sociales y becas,5151615.65,18.44,5,04,2022
Negocio propio,3457328.42,12.38,5,04,2022
Percepciones financieras y de capital,352173.60000000003,1.26,5,04,2022
Transferencias,302868.78,1.08,5,04,2022
Trabajo,4708244.14,60.88,7,04,2022
Programas sociales y becas,2141656.4,27.69,7,04,2022
Percepciones financieras y de capital,883857.91,11.43,7,04,2022
Trabajo,8000310.870000001,40.18,9,04,2022
Programas sociales y becas,4498302.93,22.59,9,04,2022
Negocio propio,3352884.3499999996,16.84,9,04,2022
Renta de la propiedad,1613347.19,8.1,9,04,2022
Percepciones financieras y de capital,1470080.8800000001,7.38,9,04,2022
Transferencias,974859.15,4.9,9,04,2022
Trabajo,4261303.199999999,100.0,3,04,2024
Trabajo,5200371.119999999,73.46,6,04,2024
Negocio propio,1036246.71,14.64,6,04,2024
Programas sociales y becas,842281.86,11.9,6,04,2024
Trabajo,6753661.16,76.9,5,05,2022
Programas sociales y becas,2029187.02,23.1,5,05,2022
Trabajo,2035868.38,73.83,4,06,2020
Transferencias,386556.11,14.02,4,06,2020
Programas sociales y becas,335015.47,12.15,4,06,2020
Trabajo,1679868.72,82.34,6,06,2020
Programas sociales y becas,360379.26,17.66,6,06,2020
Trabajo,4085728.1999999997,74.43,7,06,2020
Programas sociales y becas,1068131.0,19.46,7,06,2020
Transferencias,296703.0,5.41,7,06,2020
Negocio propio,38793.44,0.71,7,06,2020
Trabajo,4759309.24,60.49,9,06,2020
Percepciones financieras y de capital,1836689.54,23.34,9,06,2020
Programas sociales y becas,1089802.1400000001,13.85,9,06,2020
Transferencias,96922.98,1.23,9,06,2020
Negocio propio,85291.36,1.08,9,06,2020
Trabajo,2009347.6199999999,71.32,5,06,2022
Programas sociales y becas,808066.51,28.68,5,06,2022
Trabajo,5412339.16,58.66,8,06,2022
Programas sociales y becas,2151846.51,23.32,8,06,2022
Transferencias,1478991.93,16.03,8,06,2022
Negocio propio,106906.0,1.16,8,06,2022
Percepciones financieras y de capital,77282.54,0.84,8,06,2022
Trabajo,5470443.45,53.06,9,06,2022
Negocio propio,1839942.76,17.85,9,06,2022
Programas sociales y becas,1512777.33,14.67,9,06,2022
Percepciones financieras y de capital,955270.8899999999,9.27,9,06,2022
Transferencias,532039.41,5.16,9,06,2022
Trabajo,1750617.6,92.55,6,06,2024
Programas sociales y becas,140869.44,7.45,6,06,2024
Trabajo,575714.35,40.72,7,06,2024
Programas sociales y becas,379239.23,26.82,7,06,2024
Percepciones financieras y de capital,300983.47,21.29,7,06,2024
Transferencias,158016.02,11.18,7,06,2024
Trabajo,18170343.360000003,94.48,10,06,2024
Percepciones financieras y de capital,1062294.48,5.52,10,06,2024
Trabajo,14862550.580000002,81.32,1,07,2020
Programas sociales y becas,2585887.1999999997,14.15,1,07,2020
Transferencias,828584.6399999999,4.53,1,07,2020
Programas sociales y becas,30241484.91,54.41,2,07,2020
Trabajo,21239829.150000002,38.21,2,07,2020
Negocio propio,2581074.8899999997,4.64,2,07,2020
Transferencias,1106174.27,1.99,2,07,2020
Percepciones financieras y de capital,414534.85000000003,0.75,2,07,2020
Negocio propio,11166925.3,91.5,3,07,2020
Programas sociales y becas,1037625.16,8.5,3,07,2020
Programas sociales y becas,53970438.269999996,43.04,4,07,2020
Trabajo,46266964.59,36.9,4,07,2020
Transferencias,20321376.57,16.21,4,07,2020
Negocio propio,3857289.0999999996,3.08,4,07,2020
Percepciones financieras y de capital,985583.0,0.79,4,07,2020
Trabajo,30040261.48,39.49,5,07,2020
Programas sociales y becas,28770106.28,37.82,5,07,2020
Percepciones financieras y de capital,9349531.9,12.29,5,07,2020
Negocio propio,4312654.0600000005,5.67,5,07,2020
Transferencias,3598516.8600000003,4.73,5,07,2020
Transferencias,28291203.32,46.47,6,07,2020
Percepciones financieras y de capital,13638659.559999999,22.4,6,07,2020
Negocio propio,11885888.7,19.52,6,07,2020
Programas sociales y becas,7062078.78,11.6,6,07,2020
Trabajo,31054149.479999997,95.77,7,07,2020
Programas sociales y becas,1371709.94,4.23,7,07,2020
Programas sociales y becas,11558141.899999999,100.0,2,07,2022
Programas sociales y becas,11768558.9,74.04,3,07,2022
Negocio propio,2107255.8000000003,13.26,3,07,2022
Transferencias,2020106.9000000001,12.71,3,07,2022
Transferencias,18497235.0,54.7,4,07,2022
Programas sociales y becas,8488361.1,25.1,4,07,2022
Negocio propio,6831017.4,20.2,4,07,2022
Trabajo,13178327.61,55.74,5,07,2022
Programas sociales y becas,10465952.97,44.26,5,07,2022
Programas sociales y becas,22980314.0,71.02,6,07,2022
Transferencias,6798907.0,21.01,6,07,2022
Renta de la propiedad,2039672.1,6.3,6,07,2022
Negocio propio,537450.45,1.66,6,07,2022
Trabajo,19856782.6,56.65,7,07,2022
Programas sociales y becas,8157042.919999999,23.27,7,07,2022
Negocio propio,5934066.84,16.93,7,07,2022
Transferencias,1102298.3599999999,3.14,7,07,2022
Trabajo,83150315.75,70.45,10,07,2022
Programas sociales y becas,25783227.0,21.84,10,07,2022
Percepciones financieras y de capital,9097818.0,7.71,10,07,2022
Programas sociales y becas,10741302.12,39.94,3,07,2024
Trabajo,7347040.08,27.32,3,07,2024
Negocio propio,4547857.4399999995,16.91,3,07,2024
Transferencias,4260715.8,15.84,3,07,2024
Programas sociales y becas,946229.4400000001,70.75,3,08,2020
Trabajo,299212.16,22.37,3,08,2020
Percepciones financieras y de capital,92064.96,6.88,3,08,2020
Programas sociales y becas,1035389.6,39.97,4,08,2020
Trabajo,942260.4800000001,36.37,4,08,2020
Transferencias,575216.32,22.2,4,08,2020
Negocio propio,37798.880000000005,1.46,4,08,2020
Trabajo,3289902.5199999996,49.92,6,08,2020
Programas sociales y becas,2461391.4200000004,37.35,6,08,2020
Transferencias,839347.3,12.74,6,08,2020
Trabajo,6239559.279999999,60.8,7,08,2020
Transferencias,2483406.43,24.2,7,08,2020
Programas sociales y becas,1539194.35,15.0,7,08,2020
Transferencias,11430488.1,39.32,9,08,2020
Trabajo,6543538.249999999,22.51,9,08,2020
Percepciones financieras y de capital,4472799.4,15.38,9,08,2020
Negocio propio,4240878.9,14.59,9,08,2020
Programas sociales y becas,2385491.45,8.21,9,08,2020
Programas sociales y becas,872950.68,62.03,3,08,2022
Trabajo,391081.49,27.79,3,08,2022
Transferencias,143163.69,10.17,3,08,2022
Programas sociales y becas,3550498.5,82.38,5,08,2022
Negocio propio,759374.9,17.62,5,08,2022
Trabajo,3410002.99,70.14,7,08,2022
Otros ingresos,578784.4500000001,11.9,7,08,2022
Percepciones financieras y de capital,438910.45,9.03,7,08,2022
Programas sociales y becas,434087.61,8.93,7,08,2022
Trabajo,8653277.1,68.05,9,08,2024
Programas sociales y becas,2257376.28,17.75,9,08,2024
Percepciones financieras y de capital,1805900.82,14.2,9,08,2024
Transferencias,85631363.16,56.72,8,09,2020
Trabajo,39096372.919999994,25.9,8,09,2020
Percepciones financieras y de capital,22819670.8,15.12,8,09,2020
Programas sociales y becas,3422939.6,2.27,8,09,2020
Trabajo,103078352.96,93.47,9,09,2020
Programas sociales y becas,7205466.4,6.53,9,09,2020
Trabajo,860869.44,70.3,6,09,2022
Programas sociales y becas,329196.48,26.88,6,09,2022
Transferencias,34434.56,2.81,6,09,2022
Trabajo,67976897.34,67.72,7,09,2022
Programas sociales y becas,29909828.9,29.8,7,09,2022
Transferencias,2492470.3,2.48,7,09,2022
Programas sociales y becas,1433347.08,66.87,1,10,2020
Percepciones financieras y de capital,710216.76,33.13,1,10,2020
Negocio propio,2539055.64,48.15,6,10,2020
Programas sociales y becas,2472734.88,46.9,6,10,2020
Trabajo,261098.63999999998,4.95,6,10,2020
Transferencias,5075408.25,66.67,7,10,2020
Programas sociales y becas,1268850.45,16.67,7,10,2020
Trabajo,1268850.45,16.67,7,10,2020
Trabajo,12461533.559999999,73.58,8,10,2020
Percepciones financieras y de capital,1869230.16,11.04,8,10,2020
Programas sociales y becas,1794459.24,10.6,8,10,2020
Transferencias,809998.56,4.78,8,10,2020
Percepciones financieras y de capital,1109346.8399999999,46.81,1,10,2022
Programas sociales y becas,1098782.28,46.36,1,10,2022
Negocio propio,161964.36000000002,6.83,1,10,2022
Programas sociales y becas,3812045.25,53.82,2,10,2022
Transferencias,1835410.98,25.91,2,10,2022
Negocio propio,752797.9800000001,10.63,2,10,2022
Renta de la propiedad,431412.66000000003,6.09,2,10,2022
Percepciones financieras y de capital,168514.83000000002,2.38,2,10,2022
Trabajo,82759.95000000001,1.17,2,10,2022
Trabajo,3662430.3600000003,49.8,3,10,2022
Programas sociales y becas,1985971.2,27.0,3,10,2022
Transferencias,969442.56,13.18,3,10,2022
Negocio propio,668537.6,9.09,3,10,2022
Percepciones financieras y de capital,67793.04,0.92,3,10,2022
Transferencias,5764670.66,29.66,4,10,2022
Programas sociales y becas,5535293.52,28.48,4,10,2022
Trabajo,5323369.03,27.39,4,10,2022
Percepciones financieras y de capital,1795522.3099999998,9.24,4,10,2022
Negocio propio,1014072.53,5.22,4,10,2022
Trabajo,2797706.34,45.54,5,10,2022
Programas sociales y becas,1913270.15,31.15,5,10,2022
Percepciones financieras y de capital,1203313.5400000003,19.59,5,10,2022
Transferencias,198546.48,3.23,5,10,2022
Otros ingresos,30081.81,0.49,5,10,2022
Trabajo,6745449.4799999995,63.25,6,10,2022
Programas sociales y becas,3511701.27,32.93,6,10,2022
Percepciones financieras y de capital,406758.66,3.81,6,10,2022
Trabajo,13908420.95,95.73,8,10,2022
Programas sociales y becas,620705.5,4.27,8,10,2022
Programas sociales y becas,3342853.8,37.25,4,10,2024
Transferencias,2699998.6,30.09,4,10,2024
Negocio propio,2237141.4,24.93,4,10,2024
Renta de la propiedad,694283.2000000001,7.74,4,10,2024
Negocio propio,15984214.549999999,75.86,10,10,2024
Trabajo,4551990.21,21.6,10,10,2024
Programas sociales y becas,329636.73,1.56,10,10,2024
Transferencias,179801.21,0.85,10,10,2024
Percepciones financieras y de capital,24972.25,0.12,10,10,2024
Trabajo,16316651.0,83.62,9,11,2020
Programas sociales y becas,3196244.63,16.38,9,11,2020
Trabajo,25655682.26,47.63,10,11,2020
Transferencias,18029504.09,33.47,10,11,2020
Programas sociales y becas,6310322.46,11.72,10,11,2020
Renta de la propiedad,2704420.42,5.02,10,11,2020
Negocio propio,1162897.97,2.16,10,11,2020
Trabajo,4675627.32,45.06,5,11,2022
Programas sociales y becas,2986407.06,28.78,5,11,2022
Transferencias,2714916.75,26.16,5,11,2022
Negocio propio,6959538.949999999,47.89,6,11,2022
Trabajo,6499572.300000001,44.72,6,11,2022
Programas sociales y becas,720539.1699999999,4.96,6,11,2022
Transferencias,264686.76,1.82,6,11,2022
Otros ingresos,88228.92,0.61,6,11,2022
Trabajo,87808680.96000001,69.33,9,11,2022
Transferencias,33057390.08,26.1,9,11,2022
Programas sociales y becas,5785035.52,4.57,9,11,2022
Trabajo,11790779.940000001,65.54,6,11,2024
Programas sociales y becas,6199985.43,34.46,6,11,2024
Programas sociales y becas,1052996.88,52.56,1,12,2020
Negocio propio,935029.68,46.67,1,12,2020
Trabajo,15259.919999999998,0.76,1,12,2020
Programas sociales y becas,7773282.2,38.83,2,12,2020
Trabajo,5935057.819999999,29.65,2,12,2020
Negocio propio,5238516.5,26.17,2,12,2020
Percepciones financieras y de capital,747780.1799999999,3.74,2,12,2020
Transferencias,323650.25,1.62,2,12,2020
Programas sociales y becas,24517496.92,56.56,3,12,2020
Trabajo,10908696.14,25.16,3,12,2020
Transferencias,4858226.5200000005,11.21,3,12,2020
Negocio propio,1542113.65,3.56,3,12,2020
Percepciones financieras y de capital,1523071.5499999998,3.51,3,12,2020
Trabajo,4314127.199999999,68.47,4,12,2020
Negocio propio,1117797.5999999999,17.74,4,12,2020
Programas sociales y becas,868694.4,13.79,4,12,2020
Trabajo,18249065.7,58.05,5,12,2020
Programas sociales y becas,11290415.01,35.91,5,12,2020
Percepciones financieras y de capital,1899586.77,6.04,5,12,2020
Trabajo,18812637.59,53.37,6,12,2020
Programas sociales y becas,10907406.65,30.94,6,12,2020
Negocio propio,3005667.3,8.53,6,12,2020
Percepciones financieras y de capital,2219580.45,6.3,6,12,2020
Transferencias,306925.9,0.87,6,12,2020
Negocio propio,26137178.15,35.36,7,12,2020
Programas sociales y becas,19851077.45,26.86,7,12,2020
Trabajo,19438157.96,26.3,7,12,2020
Transferencias,5398659.78,7.3,7,12,2020
Percepciones financieras y de capital,3084229.17,4.17,7,12,2020
Trabajo,41613957.06,82.81,8,12,2020
Programas sociales y becas,4573171.98,9.1,8,12,2020
Transferencias,3919864.8600000003,7.8,8,12,2020
Percepciones financieras y de capital,145179.36,0.29,8,12,2020
Trabajo,17280961.38,64.76,9,12,2020
Percepciones financieras y de capital,4785634.98,17.93,9,12,2020
Programas sociales y becas,4287206.88,16.07,9,12,2020
Transferencias,331079.76,1.24,9,12,2020
Percepciones financieras y de capital,37171951.68,32.95,10,12,2020
Trabajo,34025858.1,30.16,10,12,2020
Transferencias,33362600.94,29.58,10,12,2020
Programas sociales y becas,7619277.54,6.75,10,12,2020
Negocio propio,620174.4,0.55,10,12,2020
Programas sociales y becas,10084583.4,42.96,3,12,2022
Trabajo,9284915.1,39.56,3,12,2022
Transferencias,3800880.72,16.19,3,12,2022
Negocio propio,302982.68,1.29,3,12,2022
Transferencias,8032496.7700000005,61.39,4,12,2022
Programas sociales y becas,5051868.58,38.61,4,12,2022
Programas sociales y becas,8193050.25,77.41,5,12,2022
Negocio propio,1247719.0,11.79,5,12,2022
Percepciones financieras y de capital,874318.5,8.26,5,12,2022
Transferencias,269021.5,2.54,5,12,2022
Negocio propio,18216838.259999998,33.08,6,12,2022
Trabajo,16073300.520000001,29.18,6,12,2022
Programas sociales y becas,13798866.309999999,25.05,6,12,2022
Percepciones financieras y de capital,6542455.5600000005,11.88,6,12,2022
Transferencias,444390.48,0.81,6,12,2022
Trabajo,27651138.9,95.47,7,12,2022
Programas sociales y becas,1310957.94,4.53,7,12,2022
Transferencias,23993312.15,69.55,9,12,2022
Programas sociales y becas,6403898.2,18.56,9,12,2022
Trabajo,4100378.45,11.89,9,12,2022
Programas sociales y becas,6993440.24,66.0,3,12,2024
Negocio propio,2950296.08,27.84,3,12,2024
Percepciones financieras y de capital,466226.4,4.4,3,12,2024
Trabajo,155408.80000000002,1.47,3,12,2024
Transferencias,31081.76,0.29,3,12,2024
