macrotema,monto_exp,pct,decil,cve_ent,año
Programas sociales y becas,1690816.04,12.38,7,24,2024
Percepciones financieras y de capital,939343.73,6.88,7,24,2024
Negocio propio,471735.62,3.45,7,24,2024
Negocio propio,13367838.849999998,61.73,9,24,2024
Trabajo,7419618.88,34.26,9,24,2024
Programas sociales y becas,867227.49,4.0,9,24,2024
Trabajo,7856554.700000001,86.71,6,25,2020
Programas sociales y becas,1204671.2,13.29,6,25,2020
Trabajo,9036587.34,54.29,8,25,2020
Transferencias,4706554.71,28.28,8,25,2020
Programas sociales y becas,2902376.8400000003,17.44,8,25,2020
Transferencias,14439129.9,76.47,9,25,2020
Percepciones financieras y de capital,2506791.2500000005,13.28,9,25,2020
Trabajo,1855026.55,9.82,9,25,2020
Programas sociales y becas,80216.5,0.42,9,25,2020
Transferencias,17520650.53,89.02,10,25,2020
Programas sociales y becas,2160879.31,10.98,10,25,2020
Trabajo,5748939.7700000005,53.23,6,25,2022
Programas sociales y becas,2291804.27,21.22,6,25,2022
Transferencias,1896890.31,17.56,6,25,2022
Percepciones financieras y de capital,863204.3,7.99,6,25,2022
Transferencias,6830591.32,45.83,7,25,2022
Trabajo,4968341.5600000005,33.34,7,25,2022
Programas sociales y becas,3103749.6,20.83,7,25,2022
Trabajo,17561738.48,65.79,8,25,2022
Programas sociales y becas,6988103.98,26.18,8,25,2022
Transferencias,1097607.72,4.11,8,25,2022
Negocio propio,1046384.68,3.92,8,25,2022
Trabajo,4619797.2,48.41,3,26,2020
Programas sociales y becas,3404063.4800000004,35.67,3,26,2020
Percepciones financieras y de capital,810490.52,8.49,3,26,2020
Negocio propio,709179.72,7.43,3,26,2020
Trabajo,126452644.98,91.58,10,26,2022
Programas sociales y becas,8025047.98,5.81,10,26,2022
Percepciones financieras y de capital,3600980.52,2.61,10,26,2022
Trabajo,59108238.67999999,80.24,8,26,2024
Programas sociales y becas,7544741.390000001,10.24,8,26,2024
Percepciones financieras y de capital,4290327.79,5.82,8,26,2024
Transferencias,2717207.52,3.69,8,26,2024
Trabajo,14084662.32,45.07,2,27,2020
Programas sociales y becas,11349574.469999999,36.32,2,27,2020
Negocio propio,3076716.8,9.84,2,27,2020
Percepciones financieras y de capital,2207469.83,7.06,2,27,2020
Transferencias,533832.63,1.71,2,27,2020
Programas sociales y becas,6563070.8,86.2,3,27,2020
Trabajo,1050651.24,13.8,3,27,2020
Trabajo,13714201.95,94.83,4,27,2020
Negocio propio,449577.38,3.11,4,27,2020
Percepciones financieras y de capital,297388.8,2.06,4,27,2020
Programas sociales y becas,11025417.91,36.93,5,27,2020
Trabajo,7726920.639999999,25.88,5,27,2020
Negocio propio,6862673.56,22.99,5,27,2020
Transferencias,3605442.38,12.08,5,27,2020
Percepciones financieras y de capital,631965.5700000001,2.12,5,27,2020
Trabajo,41562400.5,42.36,6,27,2020
Programas sociales y becas,28419245.63,28.96,6,27,2020
Negocio propio,22018877.65,22.44,6,27,2020
Renta de la propiedad,3345649.2,3.41,6,27,2020
Percepciones financieras y de capital,2109082.4,2.15,6,27,2020
Transferencias,664727.67,0.68,6,27,2020
Trabajo,22527760.2,76.79,7,27,2020
Programas sociales y becas,4732693.7299999995,16.13,7,27,2020
Transferencias,1241604.92,4.23,7,27,2020
Percepciones financieras y de capital,833604.3900000001,2.84,7,27,2020
Trabajo,59162229.58,61.39,8,27,2020
Programas sociales y becas,13690668.81,14.21,8,27,2020
Negocio propio,11202118.32,11.62,8,27,2020
Transferencias,7486565.029999999,7.77,8,27,2020
Renta de la propiedad,4470727.94,4.64,8,27,2020
Percepciones financieras y de capital,354675.74,0.37,8,27,2020
Trabajo,99628055.71,75.81,9,27,2020
Programas sociales y becas,16726337.780000001,12.73,9,27,2020
Transferencias,6291485.29,4.79,9,27,2020
Percepciones financieras y de capital,5282075.109999999,4.02,9,27,2020
Negocio propio,3490591.46,2.66,9,27,2020
Negocio propio,37015787.92,93.76,10,27,2020
Transferencias,2053768.4000000001,5.2,10,27,2020
Programas sociales y becas,410753.68,1.04,10,27,2020
Trabajo,4377959.82,43.2,3,27,2022
Programas sociales y becas,3610873.8899999997,35.63,3,27,2022
Percepciones financieras y de capital,2146056.12,21.17,3,27,2022
Programas sociales y becas,6248682.45,62.68,4,27,2022
Transferencias,3506984.4000000004,35.18,4,27,2022
Negocio propio,214136.86,2.15,4,27,2022
Trabajo,19276306.99,46.05,5,27,2022
Programas sociales y becas,16432339.83,39.26,5,27,2022
Transferencias,5421877.12,12.95,5,27,2022
Percepciones financieras y de capital,725900.49,1.73,5,27,2022
Trabajo,8429845.27,53.78,6,27,2022
Programas sociales y becas,7067133.85,45.09,6,27,2022
Negocio propio,176676.29,1.13,6,27,2022
Trabajo,21035744.580000002,71.39,7,27,2022
Programas sociales y becas,7600811.859999999,25.8,7,27,2022
Transferencias,526720.86,1.79,7,27,2022
Percepciones financieras y de capital,300981.60000000003,1.02,7,27,2022
Trabajo,33181815.06,60.58,8,27,2022
Programas sociales y becas,11719135.58,21.4,8,27,2022
Negocio propio,9870368.24,18.02,8,27,2022
Trabajo,50013788.75,36.38,9,27,2022
Negocio propio,44420261.71,32.31,9,27,2022
Programas sociales y becas,21677818.32,15.77,9,27,2022
Transferencias,21247825.3,15.45,9,27,2022
Otros ingresos,134215.9,0.1,9,27,2022
Trabajo,3571041.24,67.53,2,27,2024
Programas sociales y becas,1716846.3,32.47,2,27,2024
Trabajo,11415590.94,50.56,3,27,2024
Programas sociales y becas,11163223.05,49.44,3,27,2024
Programas sociales y becas,10267225.64,53.66,4,27,2024
Trabajo,7674209.7299999995,40.11,4,27,2024
Negocio propio,1193802.19,6.24,4,27,2024
Trabajo,11703157.92,72.18,5,27,2024
Programas sociales y becas,4509888.64,27.82,5,27,2024
Trabajo,68347333.35,47.53,6,27,2024
Programas sociales y becas,41055974.0,28.55,6,27,2024
Negocio propio,31626179.33,21.99,6,27,2024
Transferencias,1663029.46,1.16,6,27,2024
Percepciones financieras y de capital,1118690.97,0.78,6,27,2024
Trabajo,15372389.28,68.35,7,27,2024
Programas sociales y becas,7116847.319999999,31.65,7,27,2024
Programas sociales y becas,28266600.240000002,49.17,10,27,2024
Trabajo,18063773.759999998,31.42,10,27,2024
Negocio propio,8668951.36,15.08,10,27,2024
Renta de la propiedad,2488693.44,4.33,10,27,2024
Trabajo,2539172.48,50.2,3,28,2020
Programas sociales y becas,2115974.32,41.83,3,28,2020
Percepciones financieras y de capital,403043.12,7.97,3,28,2020
Trabajo,3891144.5999999996,61.69,4,28,2020
Programas sociales y becas,1674096.4000000001,26.54,4,28,2020
Negocio propio,742030.6,11.76,4,28,2020
Trabajo,9683506.2,73.05,6,28,2020
Transferencias,2276411.02,17.17,6,28,2020
Programas sociales y becas,1295802.48,9.78,6,28,2020
Transferencias,9088524.06,51.61,7,28,2020
Trabajo,7679802.9,43.61,7,28,2020
Programas sociales y becas,840687.54,4.77,7,28,2020
Trabajo,13558150.08,65.12,8,28,2020
Programas sociales y becas,5326411.4399999995,25.58,8,28,2020
Transferencias,1936878.0,9.3,8,28,2020
Trabajo,40162494.900000006,90.98,9,28,2020
Programas sociales y becas,3736856.7,8.46,9,28,2020
Negocio propio,246957.30000000002,0.56,9,28,2020
Trabajo,73549394.53,61.2,10,28,2020
Percepciones financieras y de capital,37345845.61,31.08,10,28,2020
Transferencias,4640062.89,3.86,10,28,2020
Negocio propio,2797387.63,2.33,10,28,2020
Programas sociales y becas,1841864.79,1.53,10,28,2020
Programas sociales y becas,11599723.22,85.55,3,28,2024
Negocio propio,1185744.73,8.75,3,28,2024
Percepciones financieras y de capital,773314.53,5.7,3,28,2024
Programas sociales y becas,13017852.9,53.89,5,28,2024
Trabajo,9691069.05,40.12,5,28,2024
Transferencias,1446424.2,5.99,5,28,2024
Trabajo,42254500.400000006,79.94,8,28,2024
Programas sociales y becas,10600431.379999999,20.06,8,28,2024
Trabajo,93269345.98,97.05,10,28,2024
Programas sociales y becas,2832064.63,2.95,10,28,2024
Programas sociales y becas,981559.92,56.48,1,29,2020
Trabajo,496622.27999999997,28.58,1,29,2020
Percepciones financieras y de capital,259671.72,14.94,1,29,2020
Trabajo,1818440.6500000001,53.46,4,29,2020
Programas sociales y becas,1583114.35,46.54,4,29,2020
Trabajo,3474887.1399999997,40.21,5,29,2020
Programas sociales y becas,2488189.18,28.79,5,29,2020
Negocio propio,1520217.7,17.59,5,29,2020
Percepciones financieras y de capital,818801.76,9.47,5,29,2020
Transferencias,285245.45,3.3,5,29,2020
Otros ingresos,54585.420000000006,0.63,5,29,2020
Trabajo,4221800.34,81.51,7,29,2020
Programas sociales y becas,957979.3500000001,18.49,7,29,2020
Trabajo,4768135.680000001,64.4,8,29,2020
Programas sociales y becas,1681376.62,22.71,8,29,2020
Transferencias,908851.02,12.28,8,29,2020
Otros ingresos,45517.78,0.61,8,29,2020
Trabajo,12119861.8,94.82,9,29,2020
Programas sociales y becas,662085.24,5.18,9,29,2020
Programas sociales y becas,1832882.92,50.36,1,29,2022
Negocio propio,1233149.0,33.88,1,29,2022
Transferencias,419084.68,11.52,1,29,2022
Trabajo,154142.85,4.24,1,29,2022
Trabajo,5804352.0600000005,89.76,3,29,2022
Programas sociales y becas,662319.24,10.24,3,29,2022
Trabajo,3260655.0,58.16,5,29,2022
Programas sociales y becas,2345901.0,41.84,5,29,2022
Trabajo,7324149.5600000005,60.65,6,29,2022
Programas sociales y becas,4236741.32,35.08,6,29,2022
Transferencias,330491.0,2.74,6,29,2022
Negocio propio,185274.25,1.53,6,29,2022
Trabajo,13558444.94,66.2,7,29,2022
Programas sociales y becas,4231800.529999999,20.66,7,29,2022
Negocio propio,2691036.98,13.14,7,29,2022
Trabajo,5074183.21,54.69,4,29,2024
Programas sociales y becas,4203692.69,45.31,4,29,2024
Programas sociales y becas,2327085.8,47.29,6,29,2024
Trabajo,2067798.4999999998,42.02,6,29,2024
Negocio propio,294138.05,5.98,6,29,2024
Transferencias,232336.75,4.72,6,29,2024
Trabajo,10619946.500000002,69.37,8,29,2024
Programas sociales y becas,4688877.869999999,30.63,8,29,2024
Negocio propio,20986322.22,44.79,9,29,2024
Trabajo,19918040.49,42.51,9,29,2024
Programas sociales y becas,5262475.59,11.23,9,29,2024
Percepciones financieras y de capital,513586.5,1.1,9,29,2024
Renta de la propiedad,176086.5,0.38,9,29,2024
Otros ingresos,1100.25,0.0,9,29,2024
Trabajo,4275501.119999999,42.79,1,30,2020
Programas sociales y becas,3941700.8400000003,39.45,1,30,2020
Percepciones financieras y de capital,1775541.9000000001,17.77,1,30,2020
Negocio propio,2918119.65,45.24,2,30,2020
Programas sociales y becas,2286588.45,35.45,2,30,2020
Trabajo,943668.3,14.63,2,30,2020
Percepciones financieras y de capital,302457.0,4.69,2,30,2020
Trabajo,37204799.35,66.69,3,30,2020
Programas sociales y becas,17881943.41,32.05,3,30,2020
Negocio propio,440215.0,0.79,3,30,2020
Percepciones financieras y de capital,258253.60000000003,0.46,3,30,2020
Trabajo,17611658.82,87.46,4,30,2020
Programas sociales y becas,2525701.96,12.54,4,30,2020
Trabajo,58792067.04,61.33,5,30,2020
Programas sociales y becas,22614412.93,23.59,5,30,2020
Negocio propio,5904123.16,6.16,5,30,2020
Transferencias,5149180.6899999995,5.37,5,30,2020
Percepciones financieras y de capital,3408257.8400000003,3.56,5,30,2020
Transferencias,9568559.0,43.42,6,30,2020
Programas sociales y becas,8410253.28,38.17,6,30,2020
Trabajo,4056847.08,18.41,6,30,2020
Trabajo,24987526.24,70.63,8,30,2020
Programas sociales y becas,6857205.36,19.38,8,30,2020
Transferencias,3532715.28,9.99,8,30,2020
Programas sociales y becas,19205893.759999998,76.02,3,30,2022
Trabajo,3102478.63,12.28,3,30,2022
Percepciones financieras y de capital,1846716.5100000002,7.31,3,30,2022
Transferencias,1108025.4000000001,4.39,3,30,2022
Trabajo,40068472.34,59.58,5,30,2022
Programas sociales y becas,27179604.86,40.42,5,30,2022
Programas sociales y becas,15814553.899999999,57.41,6,30,2022
Negocio propio,10393381.700000001,37.73,6,30,2022
Percepciones financieras y de capital,1340216.2,4.86,6,30,2022
Programas sociales y becas,12713508.399999999,100.0,2,30,2024
Trabajo,83066102.65,59.83,3,30,2024
Programas sociales y becas,49512115.82,35.66,3,30,2024
Percepciones financieras y de capital,4065881.25,2.93,3,30,2024
Negocio propio,2187879.75,1.58,3,30,2024
Trabajo,30474246.11,60.17,5,30,2024
Programas sociales y becas,15427631.780000001,30.46,5,30,2024
Negocio propio,2046007.38,4.04,5,30,2024
Renta de la propiedad,1525053.4200000002,3.01,5,30,2024
Transferencias,1016702.28,2.01,5,30,2024
Percepciones financieras y de capital,153484.81000000003,0.3,5,30,2024
Trabajo,26144299.300000004,76.95,6,30,2024
Programas sociales y becas,5858164.84,17.24,6,30,2024
Negocio propio,1975397.1500000001,5.81,6,30,2024
Trabajo,375749.01,75.57,1,31,2020
Programas sociales y becas,121499.56000000001,24.43,1,31,2020
Trabajo,3310728.96,75.66,2,31,2020
Programas sociales y becas,626633.92,14.32,2,31,2020
Transferencias,313315.2,7.16,2,31,2020
Percepciones financieras y de capital,125326.08,2.86,2,31,2020
Trabajo,1496948.85,100.0,3,31,2020
Programas sociales y becas,820124.1900000001,40.93,5,31,2020
Trabajo,672264.36,33.55,5,31,2020
Percepciones financieras y de capital,336765.6,16.81,5,31,2020
Transferencias,174325.77000000002,8.7,5,31,2020
Trabajo,3060870.7199999997,28.32,6,31,2020
Percepciones financieras y de capital,3053930.52,28.25,6,31,2020
Programas sociales y becas,2801539.44,25.92,6,31,2020
Transferencias,1892933.0999999999,17.51,6,31,2020
Trabajo,4875513.32,88.86,7,31,2020
Programas sociales y becas,396688.06,7.23,7,31,2020
Negocio propio,128654.87999999999,2.34,7,31,2020
Transferencias,85769.92,1.56,7,31,2020
Trabajo,12393325.62,41.98,8,31,2020
Programas sociales y becas,7635567.79,25.86,8,31,2020
Transferencias,7101241.63,24.05,8,31,2020
Percepciones financieras y de capital,2247567.66,7.61,8,31,2020
Negocio propio,144736.74,0.49,8,31,2020
Trabajo,23957909.619999997,44.5,10,31,2020
Transferencias,17238735.83,32.02,10,31,2020
Negocio propio,6307256.220000001,11.72,10,31,2020
Percepciones financieras y de capital,3531347.13,6.56,10,31,2020
Programas sociales y becas,2782312.83,5.17,10,31,2020
Otros ingresos,19081.84,0.04,10,31,2020
Trabajo,2792343.04,58.61,2,31,2022
Programas sociales y becas,1972172.8,41.39,2,31,2022
Trabajo,8050939.78,99.6,4,31,2022
Percepciones financieras y de capital,29409.64,0.36,4,31,2022
Otros ingresos,2939.17,0.04,4,31,2022
Trabajo,5623137.74,60.08,6,31,2022
Programas sociales y becas,3444392.05,36.8,6,31,2022
Transferencias,187133.28,2.0,6,31,2022
Percepciones financieras y de capital,104673.81999999999,1.12,6,31,2022
Trabajo,9194963.68,67.58,8,31,2022
Programas sociales y becas,3491998.0599999996,25.67,8,31,2022
Percepciones financieras y de capital,569347.3200000001,4.18,8,31,2022
Transferencias,349198.06,2.57,8,31,2022
Trabajo,35985450.480000004,66.73,9,31,2022
Negocio propio,8747670.29,16.22,9,31,2022
Programas sociales y becas,8421170.46,15.62,9,31,2022
Transferencias,774878.67,1.44,9,31,2022
Trabajo,1920373.5,78.29,5,31,2024
Programas sociales y becas,313874.79,12.8,5,31,2024
Percepciones financieras y de capital,178874.91,7.29,5,31,2024
Negocio propio,39892.35,1.63,5,31,2024
Trabajo,15305176.26,74.09,6,31,2024
Programas sociales y becas,5353618.38,25.91,6,31,2024
Trabajo,6674796.31,57.57,7,31,2024
Programas sociales y becas,3121933.43,26.93,7,31,2024
Percepciones financieras y de capital,1746195.5,15.06,7,31,2024
Renta de la propiedad,51358.3,0.44,7,31,2024
Otros ingresos,342.29999999999995,0.0,7,31,2024
Trabajo,3797618.8000000003,100.0,3,32,2020
Trabajo,3330808.83,56.73,4,32,2020
Percepciones financieras y de capital,1442949.35,24.57,4,32,2020
Negocio propio,809493.86,13.79,4,32,2020
Programas sociales y becas,288589.87,4.91,4,32,2020
Trabajo,5570993.760000001,84.91,5,32,2020
Percepciones financieras y de capital,629999.44,9.6,5,32,2020
Programas sociales y becas,359999.68,5.49,5,32,2020
Trabajo,15391416.5,76.0,6,32,2020
Programas sociales y becas,4253807.380000001,21.0,6,32,2020
Negocio propio,355943.77999999997,1.76,6,32,2020
Transferencias,251433.99,1.24,6,32,2020
Negocio propio,5063397.680000001,43.27,8,32,2020
Trabajo,4188476.9599999995,35.79,8,32,2020
Programas sociales y becas,2451128.7199999997,20.94,8,32,2020
Trabajo,14910573.139999999,72.7,9,32,2020
Programas sociales y becas,2628192.54,12.81,9,32,2020
Renta de la propiedad,2582608.16,12.59,9,32,2020
Transferencias,387388.31999999995,1.89,9,32,2020
Transferencias,2183604.95,64.0,2,32,2022
Trabajo,664177.75,19.47,2,32,2022
Programas sociales y becas,545899.85,16.0,2,32,2022
Percepciones financieras y de capital,18196.6,0.53,2,32,2022
Programas sociales y becas,5577886.510000001,56.53,3,32,2022
Transferencias,2530462.48,25.65,3,32,2022
Trabajo,1260495.6,12.78,3,32,2022
Negocio propio,497992.95,5.05,3,32,2022
Trabajo,7363339.02,52.31,4,32,2022
Programas sociales y becas,5144120.28,36.54,4,32,2022
Negocio propio,1019773.5599999999,7.24,4,32,2022
Percepciones financieras y de capital,549445.7799999999,3.9,4,32,2022
Transferencias,6355269.75,77.51,5,32,2022
Programas sociales y becas,1396368.69,17.03,5,32,2022
Percepciones financieras y de capital,447553.95,5.46,5,32,2022
Trabajo,8773942.78,33.7,6,32,2022
Transferencias,8101921.35,31.11,6,32,2022
Programas sociales y becas,5923841.29,22.75,6,32,2022
Percepciones financieras y de capital,3239509.78,12.44,6,32,2022
Trabajo,14205371.34,96.01,8,32,2022
Programas sociales y becas,590769.75,3.99,8,32,2022
Trabajo,3869407.5999999996,40.69,9,32,2022
Negocio propio,3659015.56,38.47,9,32,2022
Transferencias,1981965.16,20.84,9,32,2022
Programas sociales y becas,3660745.2499999995,56.28,1,32,2024
Negocio propio,1004311.5499999999,15.44,1,32,2024
Trabajo,961139.1399999999,14.78,1,32,2024
Percepciones financieras y de capital,439042.34,6.75,1,32,2024
Transferencias,439042.34,6.75,1,32,2024
Programas sociales y becas,7669495.15,61.17,3,32,2024
Negocio propio,2417731.76,19.28,3,32,2024
Trabajo,1495458.37,11.93,3,32,2024
Percepciones financieras y de capital,955383.66,7.62,3,32,2024
