año,grupo,ing_pc_real_prom,hogares,cve_ent
2020,candidato sin beca,8809.255132432723,56363,01
2020,con beca,9115.906814939191,223,01
2022,candidato sin beca,12958.148230959741,49704,01
2022,con beca,63448.43204741042,78,01
2024,candidato sin beca,19198.65707423283,54594,01
2020,candidato sin beca,12079.98074064528,167741,02
2022,candidato sin beca,17863.05738600465,152876,02
2024,candidato sin beca,25351.329388394253,144543,02
2020,candidato sin beca,12542.895286389294,29895,03
2020,con beca,11511.32124738454,475,03
2022,candidato sin beca,23032.590190200226,22562,03
2022,con beca,16473.130729728993,299,03
2024,candidato sin beca,23259.30934727897,26262,03
2024,con beca,15464.04,26,03
2020,candidato sin beca,9237.872492926079,30515,04
2020,con beca,9256.112187514453,2601,04
2022,candidato sin beca,12811.48725779051,29323,04
2022,con beca,7952.807028834102,1884,04
2024,candidato sin beca,14239.117099039573,27757,04
2024,con beca,13536.51774509804,255,04
2020,candidato sin beca,9363.311052855672,144960,05
2022,candidato sin beca,14316.45848248662,135711,05
2022,con beca,9330.097917817107,263,05
2024,candidato sin beca,19882.81273036188,133762,05
2020,candidato sin beca,10029.707119708612,22956,06
2020,con beca,8400.58768672495,399,06
2022,candidato sin beca,14048.862002767526,21335,06
2022,con beca,15155.481868726627,326,06
2024,candidato sin beca,19960.462410833774,15269,06
2024,con beca,34427.08461995755,157,06
2020,candidato sin beca,4903.4743631552155,215317,07
2020,con beca,3995.4930962765898,15316,07
2022,candidato sin beca,6628.290207227222,197538,07
2022,con beca,7585.3659132740695,4862,07
2024,candidato sin beca,8984.026516161508,251319,07
2024,con beca,6559.553333333333,732,07
2020,candidato sin beca,10700.627144224292,153097,08
2020,con beca,8540.7819516472,1010,08
2022,candidato sin beca,15937.839242315655,144395,08
2022,con beca,9723.920469409779,283,08
2024,candidato sin beca,21663.384070501674,125365,08
2024,con beca,37155.73,102,08
2020,candidato sin beca,9866.009006481461,347247,09
2020,con beca,11487.147247991981,3888,09
2022,candidato sin beca,17964.69704230237,278992,09
2022,con beca,8904.555865907667,1885,09
2024,candidato sin beca,21924.323767321366,238195,09
2020,candidato sin beca,7784.479492260364,73022,10
2020,con beca,9569.672909971954,731,10
2022,candidato sin beca,10583.391231153902,71172,10
2022,con beca,8602.695397087513,1829,10
2024,candidato sin beca,15193.261984623929,69475,10
2024,con beca,33291.25891966758,361,10
2020,candidato sin beca,7772.9352510923545,290046,11
2020,con beca,20717.751032800326,900,11
2022,candidato sin beca,10225.260762543086,239204,11
2022,con beca,18787.206129538903,1980,11
2024,candidato sin beca,15391.909838990017,238780,11
2024,con beca,17114.005,279,11
2020,candidato sin beca,6067.758416091676,155299,12
2020,con beca,6945.540933611398,9509,12
2022,candidato sin beca,7843.685420868488,134617,12
2022,con beca,10381.688022452161,3954,12
2024,candidato sin beca,9775.750831631776,111603,12
2024,con beca,18136.443427684015,2844,12
2020,candidato sin beca,7303.271673802943,130349,13
2020,con beca,5139.2238783057555,2036,13
2022,candidato sin beca,10969.95815910789,97706,13
2022,con beca,11178.01418376853,453,13
2024,candidato sin beca,14060.151266772607,101222,13
2020,candidato sin beca,9526.142475474011,356130,14
2022,candidato sin beca,14044.22061993031,266053,14
2022,con beca,12461.367673685447,961,14
2024,candidato sin beca,18410.28083300894,259225,14
2020,candidato sin beca,7290.972246611637,774749,15
2020,con beca,11800.729213552697,5407,15
2022,candidato sin beca,10246.908188600972,676661,15
2022,con beca,6678.822136019427,2644,15
2024,candidato sin beca,15962.590429069107,597112,15
2024,con beca,13633.240976849098,1681,15
2020,candidato sin beca,7908.285937768745,185820,16
2020,con beca,8648.944587233458,3080,16
2022,candidato sin beca,11797.10763909488,171548,16
2022,con beca,10486.735940417397,3360,16
2024,candidato sin beca,14389.998954678715,163329,16
2024,con beca,12572.897509514747,1051,16
2020,candidato sin beca,7075.08485838957,73874,17
2020,con beca,5915.215520353646,1498,17
2022,candidato sin beca,10173.830499317546,62172,17
2022,con beca,10157.561105247894,1452,17
2024,candidato sin beca,14212.647898956722,65806,17
2024,con beca,12545.45982001387,2116,17
2020,candidato sin beca,9199.626073498683,39251,18
2020,con beca,10945.734627715185,1757,18
2022,candidato sin beca,11894.75528001842,39901,18
2022,con beca,16739.299777170214,1128,18
2024,candidato sin beca,16092.08777034309,34771,18
2024,con beca,19138.090211571674,386,18
2020,candidato sin beca,10329.204522295622,234450,19
2020,con beca,9074.325914403278,1532,19
2022,candidato sin beca,15177.961231230596,208983,19
2024,candidato sin beca,22830.666080351446,223398,19
2024,con beca,14063.08875,45,19
2020,candidato sin beca,6222.845911222736,139837,20
2020,con beca,6358.335349641458,4987,20
2022,candidato sin beca,8264.65643905921,140841,20
2022,con beca,8837.70854008754,2245,20
2024,candidato sin beca,11888.672323867584,141866,20
2020,candidato sin beca,6897.230579909307,264998,21
2020,con beca,5771.1208203129345,381,21
2022,candidato sin beca,9109.494019718317,207252,21
2024,candidato sin beca,12528.442445269051,241265,21
2020,candidato sin beca,9854.517435834552,91415,22
2020,con beca,9843.331177377051,690,22
2022,candidato sin beca,12942.86282687249,90143,22
2022,con beca,12135.75300576014,339,22
2024,candidato sin beca,19377.313585863994,77184,22
2024,con beca,21659.023054295794,189,22
2020,candidato sin beca,8666.643757700509,97877,23
2020,con beca,8162.00968830615,2161,23
2022,candidato sin beca,14816.336113516048,65237,23
2022,con beca,17829.124451532607,1737,23
2024,candidato sin beca,20926.59259118585,65487,23
2024,con beca,17218.504822746698,1012,23
2020,candidato sin beca,8255.042632972454,122961,24
2020,con beca,7524.041507148583,983,24
2022,candidato sin beca,10550.293493358102,111293,24
2022,con beca,4225.578824862103,382,24
2024,candidato sin beca,13336.542602945827,103265,24
2024,con beca,11903.488630775577,606,24
2020,candidato sin beca,10176.246200605761,118732,25
2020,con beca,16289.618575178705,1078,25
2022,candidato sin beca,14735.998990334137,107150,25
2022,con beca,10724.967972771168,830,25
2024,candidato sin beca,20205.145921222163,117748,25
2020,candidato sin beca,10996.675070429184,116869,26
2020,con beca,2674.9339731702876,412,26
2022,candidato sin beca,15296.237721025243,87306,26
2022,con beca,58687.26572007755,523,26
2024,candidato sin beca,22114.12102566468,99936,26
2024,con beca,21782.66848039216,765,26
2020,candidato sin beca,7454.669756376856,91906,27
2020,con beca,6975.525959215428,11673,27
2022,candidato sin beca,9462.817462503517,77278,27
2022,con beca,13342.435176055358,4892,27
2024,candidato sin beca,14598.329663851348,93746,27
2024,con beca,13821.41524486697,5049,27
2020,candidato sin beca,9165.012774570798,142777,28
2020,con beca,10423.629050431913,3076,28
2022,candidato sin beca,14039.827027405103,139583,28
2024,candidato sin beca,17899.565506545277,135403,28
2024,con beca,30200.37408932005,1907,28
2020,candidato sin beca,5924.51976877434,58502,29
2020,con beca,6341.078291637402,1073,29
2022,candidato sin beca,8933.813602761476,45629,29
2022,con beca,6417.742333743804,1245,29
2024,candidato sin beca,12567.572616220645,42517,29
2024,con beca,17362.741432922212,948,29
2020,candidato sin beca,6823.877521808876,334807,30
2020,con beca,4816.671775861365,9424,30
2022,candidato sin beca,10958.57104487284,312137,30
2022,con beca,9575.344982354258,3211,30
2024,candidato sin beca,12612.232890612811,308636,30
2024,con beca,11619.04745333923,6137,30
2020,candidato sin beca,8258.385142781479,81651,31
2020,con beca,10802.659680858937,2032,31
2022,candidato sin beca,13936.85668852122,67552,31
2022,con beca,9938.599547440093,1532,31
2024,candidato sin beca,17741.490329226977,61176,31
2024,con beca,15963.917521588945,579,31
2020,candidato sin beca,6981.5919084216475,67491,32
2020,con beca,7362.4228768959765,1721,32
2022,candidato sin beca,10179.842941320081,66072,32
2022,con beca,8050.38149794925,1939,32
2024,candidato sin beca,13170.399145933683,64912,32
2024,con beca,7100.434355500821,812,32
