año,cve_ent,grupo,ing_pc_real_prom
2020,01,candidato,13990.058070935655
2020,01,con beca,14477.054392568001
2020,02,candidato,19184.3271101562
2020,03,candidato,19919.485903888526
2020,03,con beca,18281.233805023418
2020,04,candidato,14670.749193325391
2020,04,con beca,14699.715817932276
2020,05,candidato,14869.959309432556
2020,06,candidato,15928.268954613775
2020,06,con beca,13341.049589378164
2020,07,candidato,7787.25216361641
2020,07,con beca,6345.2788684865445
2020,08,candidato,16993.763138040376
2020,08,con beca,13563.693374577824
2020,09,candidato,15668.29849448726
2020,09,con beca,18242.842857068747
2020,10,candidato,12362.602570991196
2020,10,con beca,15197.684448650502
2020,11,candidato,12344.269056761292
2020,11,con beca,32902.04854902665
2020,12,candidato,9636.262240720085
2020,12,con beca,11030.276627764155
2020,13,candidato,11598.392064745085
2020,13,con beca,8161.6481094221235
2020,14,candidato,15128.553370332973
2020,15,candidato,11578.859232733881
2020,15,con beca,18740.845224152083
2020,16,candidato,12559.220711365122
2020,16,con beca,13735.467438356058
2020,17,candidato,11236.006511067359
2020,17,con beca,9394.007482786383
2020,18,candidato,14610.009707324505
2020,18,con beca,17383.02055834528
2020,19,candidato,16403.903499339423
2020,19,con beca,14411.01938683891
2020,20,candidato,9882.558100056867
2020,20,con beca,10097.730107562676
2020,21,candidato,10953.55451635301
2020,21,con beca,9165.169381156
2020,22,candidato,15650.048626790205
2020,22,con beca,15632.283628153622
2020,23,candidato,13763.575651697482
2020,23,con beca,12962.161703609223
2020,24,candidato,13109.908167847714
2020,24,con beca,11948.998641848879
2020,25,candidato,16160.988999679212
2020,25,con beca,25869.691182074825
2020,26,candidato,17463.919537999558
2020,26,con beca,4248.086933342857
2020,27,candidato,11838.828734497029
2020,27,con beca,11077.896119214054
2020,28,candidato,14555.04001298055
2020,28,con beca,16553.859949923302
2020,29,candidato,9408.783644193343
2020,29,con beca,10070.324017038474
2020,30,candidato,10837.06185867897
2020,30,con beca,7649.400186497763
2020,31,candidato,13115.216438028105
2020,31,con beca,17155.80193600732
2020,32,candidato,11087.529508232146
2020,32,con beca,11692.33062751761
2022,01,candidato,16155.9849978528
2022,01,con beca,79106.3582562
2022,02,candidato,22271.337076894975
2022,03,candidato,28716.617138667032
2022,03,con beca,20538.401644557976
2022,04,candidato,15973.13074737961
2022,04,con beca,9915.41605780395
2022,05,candidato,17849.50166821061
2022,05,con beca,11632.59744387
2022,06,candidato,17515.867214061473
2022,06,con beca,18895.580860957834
2022,07,candidato,8264.032425059417
2022,07,con beca,9457.297116364542
2022,08,candidato,19871.009893361148
2022,08,con beca,12123.608282914558
2022,09,candidato,22398.059563246046
2022,09,con beca,11102.039305155511
2022,10,candidato,13195.180893857192
2022,10,con beca,10725.685128711426
2022,11,candidato,12748.670298745577
2022,11,con beca,23423.549026489116
2022,12,candidato,9779.365209348463
2022,12,con beca,12943.700979001887
2022,13,candidato,13677.145552493303
2022,13,con beca,13936.546043459999
2022,14,candidato,17510.0804218323
2022,14,con beca,15536.607978274285
2022,15,candidato,12775.659918280699
2022,15,con beca,8327.034720520807
2022,16,candidato,14708.420573543268
2022,16,con beca,13074.672824396217
2022,17,candidato,12684.54797614996
2022,17,con beca,12664.263589690676
2022,18,candidato,14830.165887280862
2022,18,con beca,20870.25640194368
2022,19,candidato,18923.60772381681
2022,20,candidato,10304.224265843173
2022,20,con beca,11018.695267577963
2022,21,candidato,11357.552491101469
2022,22,candidato,16136.927432318109
2022,22,con beca,15130.637495739336
2022,23,candidato,18472.740063367906
2022,23,con beca,22229.03010752773
2022,24,candidato,13153.915232609836
2022,24,con beca,5268.3753021600005
2022,25,candidato,18372.577190265663
2022,25,con beca,13371.696216328077
2022,26,candidato,19071.072713463673
2022,26,con beca,73170.22213662001
2022,27,candidato,11798.069773299945
2022,27,con beca,16635.10701507143
2022,28,candidato,17504.602570085375
2022,29,candidato,11138.517322635813
2022,29,con beca,8001.525142020259
2022,30,candidato,13662.948304285357
2022,30,con beca,11938.367051132485
2022,31,candidato,17376.22101273776
2022,31,con beca,12391.266277111908
2022,32,candidato,12692.044180164763
2022,32,con beca,10037.07014225341
2024,01,candidato,19198.65707423283
2024,02,candidato,25351.329388394253
2024,03,candidato,23259.30934727897
2024,03,con beca,15464.04
2024,04,candidato,14239.117099039573
2024,04,con beca,13536.51774509804
2024,05,candidato,19882.81273036188
2024,06,candidato,19960.462410833774
2024,06,con beca,34427.08461995755
2024,07,candidato,8984.026516161508
2024,07,con beca,6559.553333333333
2024,08,candidato,21663.384070501674
2024,08,con beca,37155.73
2024,09,candidato,21924.323767321366
2024,10,candidato,15193.261984623929
2024,10,con beca,33291.25891966758
2024,11,candidato,15391.909838990017
2024,11,con beca,17114.005
2024,12,candidato,9775.750831631776
2024,12,con beca,18136.443427684015
2024,13,candidato,14060.151266772607
2024,14,candidato,18410.28083300894
2024,15,candidato,15962.590429069107
2024,15,con beca,13633.240976849098
2024,16,candidato,14389.998954678715
2024,16,con beca,12572.897509514747
2024,17,candidato,14212.647898956722
2024,17,con beca,12545.45982001387
2024,18,candidato,16092.08777034309
2024,18,con beca,19138.090211571674
2024,19,candidato,22830.666080351446
2024,19,con beca,14063.08875
2024,20,candidato,11888.672323867584
2024,21,candidato,12528.442445269051
2024,22,candidato,19377.313585863994
2024,22,con beca,21659.023054295794
2024,23,candidato,20926.59259118585
2024,23,con beca,17218.504822746698
2024,24,candidato,13336.542602945827
2024,24,con beca,11903.488630775577
2024,25,candidato,20205.145921222163
2024,26,candidato,22114.12102566468
2024,26,con beca,21782.66848039216
2024,27,candidato,14598.329663851348
2024,27,con beca,13821.41524486697
2024,28,candidato,17899.565506545277
2024,28,con beca,30200.37408932005
2024,29,candidato,12567.572616220645
2024,29,con beca,17362.741432922212
2024,30,candidato,12612.232890612811
2024,30,con beca,11619.04745333923
2024,31,candidato,17741.490329226977
2024,31,con beca,15963.917521588945
2024,32,candidato,13170.399145933683
2024,32,con beca,7100.434355500821
